Country Code,2010,2011,2012,2013
BRA,4.201,4.183,4.175,4.164
CHN,6.14,6.11,6.85,5.81
DEU,3.317,3.188,3.131,3.1
FRA,3.938,3.809,3.791,3.784
GBR,4.332,4.362,4.439,4.821
IND,3.31,3.42,3.87,3.84
ITA,2.957,2.823,2.977,3.032
JPN,2.954,2.958,2.944,2.873
RUS,1.925,1.918,2.123,2.183
USA,3.944,3.816,3.669,3.57
